start_date,end_date,start_time,end_time,title,description,location,categories,component,uid
5/2/26,5/2/26,10:30:00 AM,1:00:00 PM,Maya Eagle Project - II,Finish Library & Sign - 10:30-1:00,"Northwoods: 1572 E Capitol, Shorewood, WI",Service Project,VEVENT,881ee52e1b3ce3597eb2c88830ea7332@sheet2ics
5/3/26,5/3/26,4:00:00 PM,5:30:00 PM,Troop Meeting - Wood Working MB III,Wood Working MB - Part III,"Northwoods: 1572 E Capitol, Shorewood, WI",Troop Meeting,VEVENT,3079783d13971a99ccd36d55c535530e@sheet2ics
5/7/26,5/7/26,6:00:00 PM,7:30:00 PM,Committee Meeting,Monthly Adult Leadership Meeting,"Urban Harvest Brewing: 1024 S 5th Avenue, Milwaukee, WI",Committee Meeting,VEVENT,1491d0d9cc1a438ccc2ed8ddf865f77a@sheet2ics
5/8/26,5/8/26,4:00:00 PM,6:00:00 PM,Maya Eagle Project - III,Install Library & Sign - 4:00-6:00,Urban Ecology Center - 1500 E Park Place,Service Project,VEVENT,a1d78be9122977477275ee0d478a7d78@sheet2ics
5/8/26,5/10/26,6:00:00 PM,12:00:00 PM,OA Spring Ordeal Campout,OA Ordeal Campout,"Camp Oh-Da-Ko-Ta  3363 Dyer Lake Road, Burlington, WI 53105",Campout,VEVENT,f9a96748334ffb13ed11bca812326854@sheet2ics
5/10/26,5/10/26,4:00:00 PM,5:30:00 PM,Troop Meeting,Prep for Spring Campout,"Northwoods: 1572 E Capitol, Shorewood, WI",Troop Meeting,VEVENT,281d05b24ea267e41abeed25c411eb84@sheet2ics
5/14/26,5/14/26,6:00:00 PM,7:00:00 AM,Shopping for Campout,Aldi on 58th & Oaklahoma,Aldi -  5811 W Oaklahoma Ave,Campout,VEVENT,19db49ef6d5abf71f17be8b3daebf149@sheet2ics
5/15/26,5/17/26,6:00:00 PM,2:00:00 PM,Spring Campout,Greenbush Group / Ice Age Trail,Greenbush Group / Ice Age Trail,Campout,VEVENT,fa6dad6af2a3cec975ad87e08b6a2c2a@sheet2ics
5/24/26,5/24/26,4:00:00 PM,4:01:00 PM,No Troop Meeting,Memorial Day Weekend,,No Troop Meeting,VEVENT,31e16f14964d4a6bab2ba25f070774a4@sheet2ics
5/31/26,5/31/26,4:00:00 PM,5:30:00 PM,Troop Meeting,Campout Cleanup - MB and Rank Catchup,"Northwoods: 1572 E Capitol, Shorewood, WI",Troop Meeting,VEVENT,bc71eaf15abdc3a5673e8d6721de7f00@sheet2ics
6/6/26,6/6/26,11:00:00 AM,2:00:00 PM,Pack 179 Cross Over,AOL Crossover Cermony will be at about 1:15,"Grant Park Picnic Area 6, 215 S Lake Dr.",Ceremony,VEVENT,cd0d9bd15cec2308a9b45c5e3eff05ef@sheet2ics
6/7/26,6/7/26,4:00:00 PM,5:30:00 PM,Troop Meeting,Woodwork MB - Makeup / Finishup,"Northwoods: 1572 E Capitol, Shorewood, WI",Troop Meeting,VEVENT,849dd533a5088b786aa5d3d25ee9b681@sheet2ics
6/14/26,6/14/26,4:00:00 PM,5:30:00 PM,Troop Meeting,Camp Physicals / HAT Prep / Open Advancement,"Northwoods: 1572 E Capitol, Shorewood, WI",Troop Meeting,VEVENT,7222db9d6348d0631faa2378d1c8ee88@sheet2ics
6/18/26,6/18/26,6:00:00 PM,7:30:00 PM,Committee Meeting,Monthly Adult Leadership Meeting,"Urban Harvest Brewing: 1024 S 5th Avenue, Milwaukee, WI",Committee Meeting,VEVENT,a5180357c1c3cf5fda8320b6bbac4eac@sheet2ics
6/21/26,6/21/26,4:00:00 PM,5:30:00 PM,No Troop Meeting,High Adventure Trip,"Northwoods: 1572 E Capitol, Shorewood, WI",Troop Meeting,VEVENT,05ea088280e099fce97694e4f6ddf12f@sheet2ics
6/20/26,6/27/26,7:00:00 AM,3:00:00 PM,High Adventure Trip,BWCA,BWCA,High Adventure,VEVENT,02e52d7fe6a30e4623930f66937f1701@sheet2ics
6/28/26,6/28/26,4:00:00 PM,5:30:00 PM,Troop Meeting,Camp MB Prep / Open Advancement,"Northwoods: 1572 E Capitol, Shorewood, WI",Troop Meeting,VEVENT,107491addb3b9576ed2b5be31a06f102@sheet2ics
7/5/26,7/5/26,4:00:00 PM,4:15:00 PM,No Troop Meeting,Fourth of July,,Troop Meeting,VEVENT,290ab3dfb24f23c44b85ee236bcbf1ee@sheet2ics
7/12/26,7/12/26,4:00:00 PM,5:30:00 PM,Troop Meeting,Prep for Summer Camp,"Northwoods: 1572 E Capitol, Shorewood, WI",Troop Meeting,VEVENT,38b737926b25d932e994b62a7b15a29d@sheet2ics
7/19/26,7/19/26,4:00:00 PM,5:30:00 PM,Troop Meeting,Prep for Summer Camp,"Northwoods: 1572 E Capitol, Shorewood, WI",Troop Meeting,VEVENT,0df89d505ff7db5d0fd6917fadcafbeb@sheet2ics
7/26/26,8/1/26,7:00:00 AM,1:00:00 PM,Summer Camp - Tesomas,Tesomas Scout Reservation,"5403 Spider Lake Rd, Rhinelander, WI 54501",Campout,VEVENT,1b0cff4a338d00c5b8e27f8b9a02eac4@sheet2ics
8/29/26,8/29/26,9:00:00 AM,6:00:00 PM,Rummage Sale,All Day Rummage Sale,"Northwoods: 1572 E Capitol, Shorewood, WI",Fund Raiser,VEVENT,2a356e920aad675a7efea5fc90141738@sheet2ics
9/13/26,9/13/2026,3:00:00 PM,7:00:00 PM,Court of Honor - Eagle,Grant Park Picnic Area,Grant Park Picnic Area with Shelter,Troop Meeting,VEVENT,11a5cb096a7f6578a8ef2d5ed2b76687@sheet2ics